cluster_value,transform_value
"Non, Je Ne Regrette Rien by Édith Piaf","Non, Je Ne Regrette Rien by Édith Piaf"
"Non, je ne regrette rien by Édith Piaf","Non, Je Ne Regrette Rien by Édith Piaf"
"Non, je ne Regrette Rien by Édith Piaf","Non, Je Ne Regrette Rien by Édith Piaf"
String Quintet in C major by Franz Schubert,String Quintet in C major by Franz Schubert
String Quintet in C Major by Franz Schubert,String Quintet in C major by Franz Schubert
String Quintet In C Major by Franz Schubert,String Quintet in C major by Franz Schubert
Symphony No. 4 In E Minor by Johannes Brahms,Symphony No. 4 In E Minor by Johannes Brahms
Symphony No. 4 in E minor by Johannes Brahms,Symphony No. 4 In E Minor by Johannes Brahms
Mass in B Minor - Cum sancto spiritu by Johann Sebastian Bach,Mass in B Minor - Cum sancto spiritu by Johann Sebastian Bach
Mass in B minor  - Cum sancto spiritu by Johann Sebastian Bach,Mass in B Minor - Cum sancto spiritu by Johann Sebastian Bach
Summer Night On The River by Frederick Delius,Summer Night On The River by Frederick Delius
Summer Night on the River by Frederick Delius,Summer Night On The River by Frederick Delius
Piano Concerto No. 2 in C minor by Sergey Rachmaninov,Piano Concerto No. 2 in C minor by Sergey Rachmaninov
Piano Concerto No. 2 in C Minor by Sergey Rachmaninov,Piano Concerto No. 2 in C minor by Sergey Rachmaninov
Symphony No. 7 In A Major by Ludwig van Beethoven,Symphony No. 7 In A Major by Ludwig van Beethoven
Symphony No. 7 in A major by Ludwig van Beethoven,Symphony No. 7 In A Major by Ludwig van Beethoven
Like A Rolling Stone by Bob Dylan,Like A Rolling Stone by Bob Dylan
Like a Rolling Stone by Bob Dylan,Like A Rolling Stone by Bob Dylan
Violin Concerto No. 1 in G minor by Max Bruch,Violin Concerto No. 1 in G minor by Max Bruch
Violin Concerto No. 1 in G Minor by Max Bruch,Violin Concerto No. 1 in G minor by Max Bruch
Symphony No. 5 in C sharp minor - 4th movement (Adagietto) by Gustav Mahler,Symphony No. 5 in C sharp minor - 4th movement (Adagietto) by Gustav Mahler
Symphony No. 5 in C sharp minor- 4th movement (Adagietto) by Gustav Mahler,Symphony No. 5 in C sharp minor - 4th movement (Adagietto) by Gustav Mahler
