cluster_value,transform_value
Pen and paper,Pen and paper
Pen and Paper,Pen and paper
A pen and paper,Pen and paper
A Coffee Machine,A Coffee Machine
A coffee machine,A Coffee Machine
Coffee machine,A Coffee Machine
Hot water bottle,Hot water bottle
"Hot water bottle,",Hot water bottle
Hot-water bottle,Hot water bottle
Scuba-diving equipment,Scuba-diving equipment
Scuba Diving Equipment,Scuba-diving equipment
A piano,A piano
a piano,A piano
Oil painting equipment,Oil painting equipment
Oil-painting equipment,Oil painting equipment
Olive Oil,Olive Oil
Olive oil,Olive Oil
Four poster bed,Four poster bed
Four-poster bed,Four poster bed
Snorkel and mask,Snorkel and mask
A snorkel and mask,Snorkel and mask
Bed,Bed
bed,Bed
A drum kit,A drum kit
A drumkit,A drum kit
Writing materials,Writing materials
Writing Materials,Writing materials
Pair of binoculars,Pair of binoculars
Pair Of Binoculars,Pair of binoculars
Tapestry-making kit,Tapestry-making kit
Tapestry making kit,Tapestry-making kit
Bath with a hot water system,Bath with a hot water system
Bath with a hot-water system,Bath with a hot water system
Acoustic guitar,Acoustic guitar
Acoustic Guitar,Acoustic guitar
Painting materials,Painting materials
Painting Materials,Painting materials
Family photo album,Family photo album
Family Photo Album,Family photo album
"The Nike Of Samothrace, in The Louvre","The Nike Of Samothrace, in The Louvre"
"The Nike of Samothrace, in the Louvre","The Nike Of Samothrace, in The Louvre"
Family photograph album,Family photograph album
Family Photograph Album,Family photograph album
Laptop computer,Laptop computer
Laptop Computer,Laptop computer
Suntan lotion,Suntan lotion
Sun tan lotion,Suntan lotion
Make-up,Make-up
Makeup,Make-up
