cluster_value,transform_value
dr alimantado,dr alimantado
dr. alimantado,dr alimantado
the mamas the papas,the mamas the papas
the mamas & the papas,the mamas the papas
ali farka toure,ali farka toure
ali farka touré,ali farka toure
simon garfunkel,simon garfunkel
simon & garfunkel,simon garfunkel
morecambe wise,morecambe wise
morecambe & wise,morecambe wise
choir of russian church of the metropolitan of paris,choir of russian church of the metropolitan of paris
choir of the russian church of the metropolitan of paris,choir of russian church of the metropolitan of paris
