transformed_value,cluster_value
"Non, Je Ne Regrette Rien by Édith Piaf","Non, Je Ne Regrette Rien by Édith Piaf"
"Non, Je Ne Regrette Rien by Édith Piaf","Non, je ne regrette rien by Édith Piaf"
"Non, Je Ne Regrette Rien by Édith Piaf","Non, je ne Regrette Rien by Édith Piaf"
"Non, Je Ne Regrette Rien by Édith Piaf","Non, Je ne regrette rien by Édith Piaf"
Peter And The Wolf by Sergei Prokofiev,Peter And The Wolf by Sergei Prokofiev
Peter And The Wolf by Sergei Prokofiev,Peter and The Wolf by Sergei Prokofiev
Peter And The Wolf by Sergei Prokofiev,Peter and the Wolf by Sergei Prokofiev
Peter And The Wolf by Sergei Prokofiev,Prokofiev: Peter and the Wolf by Sergei Prokofiev
Multos Annos (Russian Orthodox Liturgy) by Choir Of The Russian Church Of The Metropolitan Of Paris,Multos Annos (Russian Orthodox Liturgy) by Choir Of The Russian Church Of The Metropolitan Of Paris
Multos Annos (Russian Orthodox Liturgy) by Choir Of The Russian Church Of The Metropolitan Of Paris,Multos Annos (Russian Orthodox Liturgy) by Choir of the  Russian Church of the Metropolitan of Paris
Multos Annos (Russian Orthodox Liturgy) by Choir Of The Russian Church Of The Metropolitan Of Paris,Multos Annos (Russian Orthodox Liturgy) by Choir of the Russian Church of the Metropolitan of Paris
Brandenburg Concerto No. 6 in B flat major by Johann Sebastian Bach,Brandenburg Concerto No. 6 in B flat major by Johann Sebastian Bach
Brandenburg Concerto No. 6 in B flat major by Johann Sebastian Bach,Brandenburg Concerto No. 6 In B Flat Major by Johann Sebastian Bach
Brandenburg Concerto No. 6 in B flat major by Johann Sebastian Bach,Brandenburg Concerto No. 6 in B Flat Major by Johann Sebastian Bach
I Wish I Knew (How It Would Feel To Be Free) by Nina Simone,I Wish I Knew (How It Would Feel To Be Free) by Nina Simone
I Wish I Knew (How It Would Feel To Be Free) by Nina Simone,I Wish I Knew How It Would Feel To Be Free by Nina Simone
I Wish I Knew (How It Would Feel To Be Free) by Nina Simone,I Wish I Knew how it would feel to be Free by Nina Simone
Violin Sonata in A major by César Franck,Violin Sonata in A major by César Franck
