sheet,column_index,row_index,action
discs,track_name,24,fix
discs,track_name,32,fix
discs,track_name,34,fix
discs,track_name,45,fix
discs,track_name,50,fix
discs,track_name,67,fix
discs,track_name,119,fix
discs,track_name,126,fix
discs,track_name,134,fix
discs,track_name,135,fix
discs,track_name,158,fix
discs,track_name,161,fix
discs,track_name,166,fix
discs,track_name,180,fix
discs,track_name,182,fix
discs,track_name,190,fix
discs,track_name,198,fix
discs,track_name,200,fix
discs,track_name,218,fix
discs,track_name,220,fix
discs,track_name,235,fix
discs,track_name,237,fix
discs,track_name,267,fix
discs,track_name,333,fix
discs,track_name,349,fix
discs,track_name,354,fix
discs,track_name,357,fix
discs,track_name,362,fix
discs,track_name,372,fix
discs,track_name,376,fix
discs,track_name,381,fix
discs,track_name,393,fix
discs,track_name,394,fix
discs,track_name,429,fix
discs,track_name,474,fix
discs,track_name,551,fix
discs,track_name,559,fix
discs,track_name,572,fix
discs,track_name,586,fix
discs,track_name,614,fix
discs,track_name,616,fix
discs,track_name,619,fix
discs,track_name,627,fix
discs,track_name,631,fix
discs,track_name,641,fix
discs,track_name,650,fix
discs,track_name,670,fix
discs,track_name,693,fix
discs,track_name,704,fix
discs,track_name,712,fix
discs,track_name,714,fix
discs,track_name,717,fix
discs,track_name,719,fix
discs,track_name,725,fix
discs,track_name,728,fix
discs,track_name,729,fix
discs,track_name,751,fix
discs,track_name,760,fix
discs,track_name,781,fix
discs,track_name,807,fix
discs,track_name,818,fix
discs,track_name,822,fix
discs,track_name,823,fix
discs,track_name,835,fix
discs,track_name,874,fix
discs,track_name,910,fix
discs,track_name,916,fix
discs,track_name,943,fix
discs,track_name,976,fix
discs,track_name,984,fix
discs,track_name,987,fix
discs,track_name,1000,fix
discs,track_name,1058,fix
discs,track_name,1086,fix
discs,track_name,1087,fix
discs,track_name,1090,fix
discs,track_name,1095,fix
discs,track_name,1100,fix
discs,track_name,1111,fix
discs,track_name,1119,fix
discs,track_name,1120,fix
discs,track_name,1129,fix
discs,track_name,1156,fix
discs,track_name,1163,fix
discs,track_name,1166,fix
discs,track_name,1197,fix
discs,track_name,1266,fix
discs,track_name,1275,fix
discs,track_name,1284,fix
discs,track_name,1300,fix
discs,track_name,1314,fix
discs,track_name,1317,fix
discs,track_name,1352,fix
discs,track_name,1376,fix
discs,track_name,1388,fix
